epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.037,2.3744,3.1864,2.47821,0.2127,0.12451,0.09812,0.02686,2.46341,3.20545,2.77018,0.067088,0.000332444,0.000332444
2,211.449,2.28365,2.86199,2.50945,0.18958,0.23695,0.11429,0.02982,2.44539,2.83809,2.81042,0.0340836,0.000661384,0.000661384
3,317.053,2.25015,2.77261,2.46912,0.21704,0.26135,0.14685,0.04259,2.29519,3.63175,2.61942,0.00107481,0.000985923,0.000985923
4,424.041,2.19859,2.74348,2.42526,0.23174,0.36119,0.19062,0.06277,2.20336,2.33425,2.54762,0.0009802,0.0009802,0.0009802
5,525.941,2.14483,2.6735,2.35148,0.2711,0.33875,0.24443,0.08098,2.09233,2.48937,2.48849,0.0009736,0.0009736,0.0009736
6,629.914,2.13117,2.57259,2.35892,0.24384,0.38362,0.22393,0.07983,2.12258,2.21033,2.5053,0.000967,0.000967,0.000967
7,729.142,2.09386,2.54587,2.33195,0.30377,0.38979,0.26387,0.08808,2.13445,2.14783,2.49961,0.0009604,0.0009604,0.0009604
8,831.123,2.06059,2.51764,2.30957,0.29136,0.42457,0.28762,0.09922,2.1061,2.32215,2.50464,0.0009538,0.0009538,0.0009538
9,935.59,2.03456,2.479,2.29126,0.31603,0.44677,0.26822,0.09455,2.05285,2.22029,2.36872,0.0009472,0.0009472,0.0009472
10,1037.44,2.00834,2.43459,2.27626,0.30144,0.447,0.29025,0.10086,2.07268,2.15425,2.49602,0.0009406,0.0009406,0.0009406
11,1140.83,1.99633,2.40058,2.24891,0.34169,0.44917,0.31813,0.11154,2.0553,2.19176,2.39519,0.000934,0.000934,0.000934
12,1244.9,1.97468,2.3687,2.21705,0.34355,0.57095,0.35286,0.12548,2.01627,2.01658,2.41931,0.0009274,0.0009274,0.0009274
13,1351.07,1.96984,2.3488,2.22957,0.23045,0.53057,0.22994,0.07975,2.03224,2.44316,2.38988,0.0009208,0.0009208,0.0009208
14,1456.09,1.95263,2.32072,2.217,0.39115,0.5014,0.4042,0.15374,1.96983,2.09614,2.36527,0.0009142,0.0009142,0.0009142
15,1563.1,1.94329,2.26766,2.20144,0.41849,0.54459,0.42878,0.1485,1.99976,2.02288,2.29112,0.0009076,0.0009076,0.0009076
16,1672.02,1.95735,2.24717,2.192,0.34427,0.53768,0.32289,0.11052,2.00885,2.03579,2.42463,0.000901,0.000901,0.000901
17,1781.02,1.92943,2.26892,2.16608,0.38066,0.50365,0.35829,0.12603,2.04911,2.02404,2.42685,0.0008944,0.0008944,0.0008944
18,1886.9,1.89644,2.24121,2.20402,0.42274,0.53057,0.42406,0.1562,1.93106,1.94115,2.37695,0.0008878,0.0008878,0.0008878
19,1993.83,1.90239,2.22096,2.17586,0.36662,0.55356,0.37062,0.13424,1.97354,1.97624,2.35144,0.0008812,0.0008812,0.0008812
20,2096.43,1.89821,2.20748,2.17187,0.41804,0.5401,0.42624,0.15468,1.92549,2.00268,2.3548,0.0008746,0.0008746,0.0008746
21,2202.81,1.90336,2.21799,2.19352,0.38002,0.58497,0.39372,0.14884,1.92431,1.89006,2.31837,0.000868,0.000868,0.000868
